@relation user

@attribute id numeric
@attribute wei numeric
@attribute gen {female, male}
@attribute cat {no, yes}
@attribute res {Western, S.Eastern, N.Eastern, Belfast, Southern}
@attribute sch {secondary, gramma}
@attribute fue {yes, no}
@attribute gcs {yes, no}
@attribute fmp {yes, no}
@attribute lvb {yes, no}
@attribute tra numeric
@attribute emp numeric
@attribute jol numeric
@attribute fe numeric
@attribute he numeric
@attribute ascc numeric

@data
666,1.1,male,no,Western,secondary,no,no,yes,no,0,0,46,0,0,26
667,1.59,female,yes,Western,secondary,no,no,yes,no,25,45,0,0,0,2
668,0.23,female,no,N.Eastern,secondary,yes,no,no,no,0,51,21,0,0,0
669,0.69,female,no,S.Eastern,secondary,no,yes,no,no,0,12,48,12,0,0
670,4.1,female,no,Belfast,secondary,no,no,no,yes,0,15,9,22,0,26
671,1.5,male,no,Belfast,gramma,no,no,yes,no,18,15,33,6,0,0
672,0.33,male,no,Belfast,gramma,yes,yes,yes,no,12,60,0,0,0,0
673,0.33,male,no,Belfast,gramma,no,no,no,no,18,54,0,0,0,0
674,0.45,female,yes,Southern,secondary,no,no,no,yes,0,0,49,21,0,2
675,0.98,male,yes,Southern,secondary,no,no,no,yes,37,35,0,0,0,0
676,0.4,female,no,N.Eastern,secondary,no,yes,no,no,0,14,0,56,0,2
677,3.6,female,no,S.Eastern,secondary,no,yes,yes,yes,0,0,0,25,21,26
678,0.45,male,no,Southern,secondary,no,yes,no,no,0,36,0,34,0,2
679,0.69,male,no,S.Eastern,secondary,no,no,no,yes,0,30,15,25,0,2
680,0.55,male,no,S.Eastern,secondary,no,no,no,no,0,72,0,0,0,0
681,0.87,female,no,N.Eastern,secondary,no,no,no,no,0,38,0,8,0,26
682,0.71,female,no,Belfast,secondary,no,no,no,no,6,66,0,0,0,0
683,0.4,female,no,N.Eastern,secondary,no,yes,no,no,0,48,0,22,0,2
684,0.21,female,no,Belfast,secondary,no,no,no,no,3,67,2,0,0,0
685,3.6,female,no,S.Eastern,secondary,yes,yes,no,yes,0,0,0,0,46,26
686,3.6,female,no,S.Eastern,secondary,no,yes,no,no,7,5,0,0,33,27
687,1.1,male,yes,Western,secondary,yes,no,no,no,0,0,49,0,0,23
688,1.1,male,yes,Western,secondary,no,no,no,no,0,20,0,25,0,27
689,1.1,female,yes,Western,secondary,no,no,no,yes,0,0,46,0,0,26
690,1.1,male,no,Western,secondary,no,no,no,yes,0,46,0,0,0,26
691,0.57,female,yes,Western,secondary,yes,no,no,yes,0,36,0,33,0,3
692,1.31,female,yes,Southern,gramma,yes,yes,no,no,0,15,0,0,21,36
693,1.31,female,no,Southern,gramma,no,yes,no,no,0,24,0,0,22,26
694,0.28,male,no,Southern,gramma,no,yes,yes,yes,0,72,0,0,0,0
695,0.28,male,no,Southern,secondary,no,no,no,yes,0,72,0,0,0,0
696,0.98,male,no,Southern,secondary,no,no,no,no,15,57,0,0,0,0
697,0.89,female,yes,N.Eastern,secondary,no,yes,no,yes,65,0,5,0,0,2
698,0.13,female,yes,Southern,gramma,no,yes,yes,yes,24,48,0,0,0,0
699,0.28,male,yes,Southern,secondary,no,no,no,yes,0,62,0,10,0,0
700,0.45,female,yes,Southern,secondary,no,no,yes,yes,3,36,0,33,0,0
701,0.45,female,no,Southern,secondary,no,no,no,no,0,53,13,6,0,0
702,0.28,female,no,Southern,gramma,no,no,no,no,0,68,4,0,0,0
703,0.28,male,no,Southern,gramma,no,no,no,no,0,72,0,0,0,0
704,0.13,female,yes,Southern,gramma,no,no,no,no,21,41,0,10,0,0
705,0.45,female,no,Southern,secondary,no,no,no,yes,18,11,31,12,0,0
706,1.31,male,no,Southern,gramma,no,no,yes,yes,0,24,0,25,0,23
707,1.31,male,no,Southern,gramma,no,no,no,yes,17,25,0,0,0,30
708,0.69,male,no,Southern,gramma,no,yes,yes,yes,0,39,0,24,9,0
709,0.69,male,no,Southern,gramma,yes,no,no,no,0,0,60,12,0,0
710,1.31,female,no,Southern,gramma,no,no,no,yes,0,2,2,22,34,12
711,0.98,male,yes,Southern,secondary,no,no,no,yes,24,46,2,0,0,0
712,2,male,yes,S.Eastern,secondary,no,no,no,yes,60,12,0,0,0,0


